,0
209835_x_at,0.0024182936844762463
201914_s_at,0.002152962075191834
212014_x_at,0.0020868202749674838
219756_s_at,0.0020092821620991104
214449_s_at,0.0018861016660970712
201769_at,0.0018088802414329085
208992_s_at,0.001729434992585621
200956_s_at,0.0015663570414133855
203218_at,0.0015656526694876488
204489_s_at,0.001481469332646642
201711_x_at,0.001467299210495697
221257_x_at,0.0013546154031453404
209380_s_at,0.0013218876639602068
201369_s_at,0.0012996834059729695
206636_at,0.0012986358141852392
204999_s_at,0.0012574085040242978
213553_x_at,0.0012344706102791752
213203_at,0.0012215850034955201
210396_s_at,0.0012024621179488235
212648_at,0.0011648871255305168
